timestamp,func,details,elapsed_time_ms,cpu_time_ms,peak_memory_usage_MB,received_data_B,transmitted_data_B
2024-08-07 17:55:20.923217,_find_better_predictor,New model selection,1107.38,390.62,0.0,0,0
2024-08-07 17:55:24.090042,sync,POST /nodes/S1/sync ,15.55,0,0.0,448,371
2024-08-07 17:55:22.046218,_synchronize_with_base_station,Synchronization,2075.4,0.0,9.92,0,0
2024-08-07 17:55:24.121623,update_prediction_horizon,Prediction,124.55,46.88,0.29,0,0
2024-08-07 17:56:38.604769,update_prediction_horizon,Prediction,94.18,78.12,0.29,0,0
2024-08-07 17:56:52.770894,update_prediction_horizon,Prediction,93.07,78.12,0.29,0,0
2024-08-07 17:59:01.455750,update_prediction_horizon,Prediction,129.69,93.75,0.29,0,0
2024-08-07 17:59:59.879855,update_prediction_horizon,Prediction,85.05,46.88,0.29,0,0
2024-08-07 18:00:08.010184,update_prediction_horizon,Prediction,89.74,31.25,0.29,0,0
2024-08-07 18:00:14.149805,update_prediction_horizon,Prediction,85.06,62.5,0.56,0,0
2024-08-07 18:00:14.254814,update_prediction_horizon,Prediction,85.18,31.25,0.31,0,0
2024-08-07 18:00:14.359893,update_prediction_horizon,Prediction,80.12,46.88,0.31,0,0
2024-08-07 18:00:14.460889,update_prediction_horizon,Prediction,84.13,46.88,0.31,0,0
2024-08-07 18:00:14.564761,update_prediction_horizon,Prediction,95.39,46.88,0.31,0,0
2024-08-07 18:00:14.674754,update_prediction_horizon,Prediction,85.23,46.88,0.31,0,0
2024-08-07 18:00:14.781578,update_prediction_horizon,Prediction,83.22,46.88,0.31,0,0
2024-08-07 18:00:14.882116,update_prediction_horizon,Prediction,79.42,62.5,0.31,0,0
2024-08-07 18:00:14.982304,update_prediction_horizon,Prediction,112.52,78.12,0.31,0,0
2024-08-07 18:00:14.139944,_find_better_predictor,New model selection,970.04,468.75,0.0,0,0
2024-08-07 18:00:17.173652,sync,POST /nodes/S1/sync ,16.29,0,0.0,421,371
2024-08-07 18:00:15.119782,_synchronize_with_base_station,Synchronization,2085.42,15.62,9.94,0,0
2024-08-07 18:00:17.209857,update_prediction_horizon,Prediction,85.1,78.12,0.29,0,0
2024-08-07 18:00:31.366612,update_prediction_horizon,Prediction,78.55,31.25,0.3,0,0
2024-08-07 18:00:47.533354,update_prediction_horizon,Prediction,94.37,78.12,0.3,0,0
2024-08-07 18:01:53.940981,update_prediction_horizon,Prediction,90.02,46.88,0.3,0,0
2024-08-07 18:02:02.080729,update_prediction_horizon,Prediction,80.51,46.88,0.3,0,0
2024-08-07 18:02:34.323119,update_prediction_horizon,Prediction,109.83,62.5,0.3,0,0
2024-08-07 18:03:38.724933,update_prediction_horizon,Prediction,93.44,31.25,0.3,0,0
2024-08-07 18:04:06.955536,update_prediction_horizon,Prediction,73.33,46.88,0.3,0,0
2024-08-07 18:04:15.088395,update_prediction_horizon,Prediction,95.34,46.88,0.3,0,0
2024-08-07 18:04:23.276949,update_prediction_horizon,Prediction,126.68,109.38,0.56,0,0
2024-08-07 18:04:23.443247,update_prediction_horizon,Prediction,101.68,15.62,0.31,0,0
2024-08-07 18:04:23.560586,update_prediction_horizon,Prediction,78.7,31.25,0.31,0,0
2024-08-07 18:04:23.655425,update_prediction_horizon,Prediction,88.34,78.12,0.31,0,0
2024-08-07 18:04:23.766658,update_prediction_horizon,Prediction,78.89,15.62,0.31,0,0
2024-08-07 18:04:23.861285,update_prediction_horizon,Prediction,82.85,46.88,0.31,0,0
2024-08-07 18:04:23.979613,update_prediction_horizon,Prediction,79.27,46.88,0.31,0,0
2024-08-07 18:04:24.087398,update_prediction_horizon,Prediction,78.17,62.5,0.31,0,0
2024-08-07 18:04:24.196979,update_prediction_horizon,Prediction,79.39,46.88,0.31,0,0
2024-08-07 18:04:23.276949,_find_better_predictor,New model selection,1015.11,484.38,0.0,0,0
2024-08-07 18:04:26.349999,sync,POST /nodes/S1/sync ,15.64,0,0.0,369,371
2024-08-07 18:04:24.307076,_synchronize_with_base_station,Synchronization,2080.88,0.0,9.92,0,0
2024-08-07 18:04:26.394733,update_prediction_horizon,Prediction,82.6,62.5,0.3,0,0
2024-08-07 18:04:48.596576,update_prediction_horizon,Prediction,94.96,62.5,0.3,0,0
2024-08-07 18:05:00.756973,update_prediction_horizon,Prediction,77.91,46.88,0.3,0,0
2024-08-07 18:05:20.954885,update_prediction_horizon,Prediction,92.71,46.88,0.3,0,0
2024-08-07 18:05:41.137612,update_prediction_horizon,Prediction,92.89,62.5,0.3,0,0
