         52669681 function calls (51841661 primitive calls) in 3601.814 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   474262    2.778    0.000    5.413    0.000 common.py:585(is_dtype_equal)
     4308    0.033    0.000    5.384    0.001 __init__.py:1690(callHandlers)
     4308    0.032    0.000    5.351    0.001 __init__.py:965(handle)
     4308    0.039    0.000    5.289    0.001 __init__.py:1098(emit)
    54168    0.292    0.000    5.280    0.000 stride_tricks.py:367(broadcast_to)
    54168    3.866    0.000    4.988    0.000 stride_tricks.py:340(_broadcast_to)
      566    0.013    0.000    4.876    0.009 resource_profiler.py:81(add_log_entry)
     7772    0.110    0.000    4.759    0.001 series.py:1897(to_frame)
     8298    0.062    0.000    4.601    0.001 concat.py:648(_get_concat_axis)
     8298    0.026    0.000    4.475    0.001 concat.py:708(_concat_indexes)
     8298    0.093    0.000    4.450    0.001 base.py:5377(append)
     4308    0.056    0.000    4.346    0.001 __init__.py:1087(flush)
     8298    0.084    0.000    4.320    0.001 base.py:5407(_concat)
     4308    0.092    0.000    4.254    0.001 iostream.py:592(flush)
     7772    0.024    0.000    4.199    0.001 frame.py:3696(T)
     7772    0.194    0.000    4.175    0.001 frame.py:3565(transpose)
     1776    0.041    0.000    4.024    0.002 frame.py:3955(__setitem__)
      568    3.940    0.007    3.940    0.007 {method '__exit__' of '_io._IOBase' objects}
    49468    0.343    0.000    3.842    0.000 frame.py:609(__init__)
    72406    0.972    0.000    3.791    0.000 warnings.py:130(filterwarnings)
     4308    0.064    0.000    3.628    0.001 threading.py:611(wait)
  2706239    2.585    0.000    3.621    0.000 generic.py:40(_check)
     4270    0.067    0.000    3.538    0.001 threading.py:295(wait)
    20990    0.322    0.000    3.535    0.000 managers.py:301(apply)
     1862    0.023    0.000    3.499    0.002 indexing.py:1213(_getitem_iterable)
    36424    3.446    0.000    3.446    0.000 {method 'acquire' of '_thread.lock' objects}
    91504    2.351    0.000    3.398    0.000 generic.py:5904(__setattr__)
    97867    0.152    0.000    3.307    0.000 base.py:7277(ensure_index)
   141086    1.467    0.000    3.281    0.000 _ufunc_config.py:33(seterr)
     3871    0.055    0.000    3.256    0.001 series.py:966(__getitem__)
    11381    0.081    0.000    3.242    0.000 generic.py:6045(dtypes)
    11818    0.199    0.000    3.122    0.000 concat.py:71(concat_compat)
     1418    0.012    0.000    3.117    0.002 sensor_manager.py:106(_get_measurement)
     1418    0.004    0.000    3.102    0.002 multivariate_sensor_mock_dataframe.py:23(measurement)
     1418    0.014    0.000    3.098    0.002 multivariate_sensor_mock_dataframe.py:31(nextItem)
     3871    0.049    0.000    3.071    0.001 series.py:1009(_get_with)
     1862    0.021    0.000    2.828    0.002 indexing.py:1406(_get_listlike_indexer)
   178657    0.398    0.000    2.802    0.000 construction.py:461(ensure_wrapped_if_datetimelike)
     1862    0.049    0.000    2.794    0.002 base.py:6056(_get_indexer_strict)
     9104    0.254    0.000    2.759    0.000 construction.py:272(ndarray_to_mgr)
   229163    0.769    0.000    2.754    0.000 base.py:7372(maybe_extract_name)
    32892    0.192    0.000    2.716    0.000 datetimelike.py:2138(ensure_arraylike_for_datetimelike)
        1    0.000    0.000    2.703    2.703 sensor_manager.py:95(_update_horizon)
     1776    0.024    0.000    2.617    0.001 frame.py:4164(_set_item)
    10349    0.032    0.000    2.536    0.000 indexing.py:1258(_get_label)
    10349    0.217    0.000    2.504    0.000 generic.py:3908(xs)
  1012284    0.858    0.000    2.500    0.000 common.py:1556(get_dtype)
     8298    0.108    0.000    2.482    0.000 concat.py:338(_concat_datetime)
     3518    0.024    0.000    2.448    0.001 managers.py:421(interpolate)
    70543    0.552    0.000    2.353    0.000 _ufunc_config.py:430(__enter__)
     3518    0.072    0.000    2.330    0.001 blocks.py:1209(interpolate)
     3934    0.198    0.000    2.321    0.001 threshold_metric.py:148(threshold_score)
     8298    0.101    0.000    2.310    0.000 datetimelike.py:533(_concat_same_type)
    15988    0.030    0.000    2.308    0.000 datetimes.py:286(_from_sequence)
     1776    0.051    0.000    2.287    0.001 frame.py:4139(_set_item_mgr)
   288654    2.282    0.000    2.282    0.000 {method 'view' of 'numpy.ndarray' objects}
    53280    0.604    0.000    2.274    0.000 timedeltas.py:118(__new__)
185288/182835    2.210    0.000    2.240    0.000 {built-in method numpy.asarray}
3788836/3759405    1.995    0.000    2.199    0.000 {built-in method builtins.getattr}
   218953    0.696    0.000    2.186    0.000 datetimelike.py:295(asi8)
     3518    0.031    0.000    2.174    0.001 missing.py:209(interpolate_array_2d)
     3518    0.061    0.000    2.130    0.001 missing.py:263(_interpolate_2d_with_fill)
     7770    0.022    0.000    2.076    0.000 _decorators.py:345(wrapper)
    70543    0.574    0.000    2.054    0.000 _ufunc_config.py:435(__exit__)
